accuracy,auc,loss,precision,recall,phase
0.8414743542671204,0.916832447052002,0.3719978332519531,0.41063258051872253,0.8402643799781799,head
0.9098203182220459,0.9664133787155151,0.23542457818984985,0.5699965357780457,0.9082897305488586,head
0.9286171197891235,0.9779840111732483,0.1910373717546463,0.6309479475021362,0.9275681376457214,head
0.9403491020202637,0.9840993881225586,0.1636601984500885,0.6746487021446228,0.9388598203659058,head
0.9472540020942688,0.9876837730407715,0.1451720893383026,0.7017722725868225,0.9487744569778442,head
0.9535515904426575,0.9904759526252747,0.12972554564476013,0.7275386452674866,0.958964467048645,head
0.9568761587142944,0.9921669960021973,0.11814925074577332,0.7422505021095276,0.9628201723098755,head
0.9614155292510986,0.9937032461166382,0.10735124349594116,0.763363778591156,0.9675020575523376,head
0.963813066482544,0.9945797324180603,0.10040571540594101,0.7754022479057312,0.9688791036605835,head
0.9675212502479553,0.995246171951294,0.0939817801117897,0.7925710678100586,0.9754888415336609,head
0.9695991277694702,0.996016263961792,0.08668279647827148,0.8019378185272217,0.980170726776123,head
0.9713253378868103,0.9964554309844971,0.08215499669313431,0.8113895058631897,0.9809969663619995,head
0.972923755645752,0.9969995617866516,0.0770334005355835,0.8189734220504761,0.9843018651008606,head
0.9743942022323608,0.9973196387290955,0.07231223583221436,0.8272432684898376,0.9851280450820923,head
0.9763442277908325,0.997580349445343,0.06828677654266357,0.8381286263465881,0.9867805242538452,head
0.9762163758277893,0.9977728128433228,0.0658964067697525,0.8368728160858154,0.9876067042350769,head
0.9787417650222778,0.9979960322380066,0.0630040243268013,0.8504253029823303,0.9911869764328003,head
0.9788057208061218,0.998234212398529,0.05973110720515251,0.851492166519165,0.9900853633880615,head
0.9809155464172363,0.9983381032943726,0.056764036417007446,0.8630923628807068,0.9931148290634155,head
0.98136305809021,0.9984458088874817,0.05509772151708603,0.8665223717689514,0.9922886490821838,head
0.98273766040802,0.9985682368278503,0.05248807743191719,0.874666690826416,0.9936656355857849,head
0.9834409356117249,0.9987086057662964,0.05012185871601105,0.8782503008842468,0.9953181147575378,head
0.9839524030685425,0.9987603425979614,0.0488821342587471,0.88223797082901,0.9944918751716614,head
0.9845598340034485,0.998897135257721,0.046356189996004105,0.8850293755531311,0.9964197278022766,head
0.9849753975868225,0.9989377856254578,0.045230455696582794,0.8884246945381165,0.9955934882164001,head
0.9849753975868225,0.9990234375,0.04359757900238037,0.8884246945381165,0.9955934882164001,head
0.9861581921577454,0.9990866184234619,0.04155450686812401,0.8955962657928467,0.996970534324646,head
0.9869893193244934,0.9991828203201294,0.04023997485637665,0.9005964398384094,0.9980721473693848,head
0.987149178981781,0.9992225766181946,0.0390922836959362,0.9019168615341187,0.9977967739105225,head
0.9876606464385986,0.9992502927780151,0.0378415621817112,0.905726432800293,0.9975213408470154,head
0.8874112963676453,0.9178513884544373,0.48713696002960205,0.5095430016517639,0.8014321327209473,fine_tuning
0.8733776807785034,0.9428467750549316,0.36110401153564453,0.47548291087150574,0.8812999129295349,fine_tuning
0.8882424235343933,0.9534538984298706,0.3184087872505188,0.5106584429740906,0.890663743019104,fine_tuning
0.8963940739631653,0.9590292572975159,0.296857088804245,0.531862735748291,0.8964472413063049,fine_tuning
0.9032031297683716,0.9644680023193359,0.2687799036502838,0.5505279302597046,0.9047094583511353,fine_tuning
0.9090531468391418,0.9663691520690918,0.25751227140426636,0.5676885843276978,0.9077389240264893,fine_tuning
0.9147752523422241,0.9703468084335327,0.23761795461177826,0.5847830176353455,0.9165518879890442,fine_tuning
0.9189949631690979,0.9714404940605164,0.23396925628185272,0.5986688137054443,0.9165518879890442,fine_tuning
0.9208490252494812,0.9729698300361633,0.22690963745117188,0.6043737530708313,0.920958399772644,fine_tuning
0.9229908585548401,0.9755189418792725,0.21177038550376892,0.6112122535705566,0.9248141050338745,fine_tuning
0.9256121516227722,0.9761137366294861,0.2096550017595291,0.6202508211135864,0.9261911511421204,fine_tuning
0.9274343252182007,0.9773311018943787,0.20149248838424683,0.6270775198936462,0.9248141050338745,fine_tuning
0.9324851632118225,0.9802014827728271,0.1850404143333435,0.6435999274253845,0.9374827742576599,fine_tuning
0.9333802461624146,0.9796625375747681,0.18976792693138123,0.6490653157234192,0.9275681376457214,fine_tuning
0.9348506927490234,0.9818294644355774,0.1765618771314621,0.6530847549438477,0.9358303546905518,fine_tuning
0.9359695911407471,0.982439398765564,0.1735152006149292,0.6573250889778137,0.9366565942764282,fine_tuning
0.9385589361190796,0.9835783243179321,0.1651807427406311,0.667123019695282,0.9394106268882751,fine_tuning
0.938463032245636,0.9842824935913086,0.1622130572795868,0.6673204898834229,0.9369319677352905,fine_tuning
0.939837634563446,0.9852023720741272,0.15570691227912903,0.6717737317085266,0.9418892860412598,fine_tuning
0.9433220624923706,0.9850322008132935,0.15492311120033264,0.6862469911575317,0.9427155256271362,fine_tuning
