accuracy,auc,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall,learning_rate,phase
0.8583410382270813,0.9287949204444885,0.342546671628952,0.4429093301296234,0.8536884188652039,0.8403307795524597,0.8637510538101196,0.37447425723075867,0.3948170840740204,0.7115384340286255,9.999999747378752e-05,head
0.9141374826431274,0.9699006676673889,0.22298716008663177,0.5829920172691345,0.9149066209793091,0.8279262185096741,0.8737765550613403,0.411763072013855,0.379263311624527,0.7637362480163574,9.999999747378752e-05,head
0.9305210113525391,0.9793370962142944,0.18497441709041595,0.6379890441894531,0.9283746480941772,0.8454198241233826,0.8837259411811829,0.3679957985877991,0.4108187258243561,0.7719780206680298,9.999999747378752e-05,head
0.9418579936027527,0.9850759506225586,0.159144788980484,0.6803007125854492,0.9418426752090454,0.8597328066825867,0.8859598636627197,0.34332558512687683,0.4387917220592499,0.7582417726516724,9.999999747378752e-05,head
0.9476508498191833,0.9883551001548767,0.14241959154605865,0.7040491104125977,0.9473522901535034,0.856234073638916,0.8911089301109314,0.35318389534950256,0.4316770136356354,0.7637362480163574,9.999999747378752e-05,head
0.9523065090179443,0.9908328056335449,0.1279798150062561,0.7229557633399963,0.9553107023239136,0.8924936652183533,0.8908569812774658,0.2812158465385437,0.5261043906211853,0.7197802066802979,9.999999747378752e-05,head
0.9583836793899536,0.9924631714820862,0.11606671661138535,0.7501193284988403,0.9620447158813477,0.8737277388572693,0.8945450186729431,0.31518664956092834,0.4716006815433502,0.7527472376823425,9.999999747378752e-05,head
0.9618664979934692,0.9938077926635742,0.10688133537769318,0.7651039361953735,0.9690847992897034,0.8845419883728027,0.9036267995834351,0.29003751277923584,0.5009276270866394,0.7417582273483276,9.999999747378752e-05,head
0.9648517966270447,0.9948346018791199,0.09801880270242691,0.7791666388511658,0.9730639457702637,0.9023537039756775,0.9012475609779358,0.2639763653278351,0.5594989657402039,0.7362637519836426,9.999999747378752e-05,head
0.9667353630065918,0.9954310655593872,0.09241656959056854,0.7885615229606628,0.9749005436897278,0.8810432553291321,0.8989258408546448,0.3006671369075775,0.4909747242927551,0.7472527623176575,9.999999747378752e-05,head
0.9696851372718811,0.9960969686508179,0.08569841086864471,0.8011476993560791,0.9828588962554932,0.8905852437019348,0.9039282202720642,0.2834242582321167,0.5192307829856873,0.7417582273483276,9.999999747378752e-05,head
0.9706446528434753,0.9965591430664062,0.08041121810674667,0.8059664368629456,0.9840832352638245,0.9013994932174683,0.899687647819519,0.27147117257118225,0.5569620132446289,0.7252747416496277,9.999999747378752e-05,head
0.9744118452072144,0.9970487356185913,0.07561054825782776,0.8259534239768982,0.9877563714981079,0.8982188105583191,0.9044756293296814,0.2754782438278198,0.5447154641151428,0.7362637519836426,4.999999873689376e-05,head
0.9755491018295288,0.997362494468689,0.07271820306777954,0.8322597146034241,0.9886746406555176,0.8918575048446655,0.9068666696548462,0.29188066720962524,0.5223880410194397,0.7692307829856873,4.999999873689376e-05,head
0.9757978320121765,0.9974923133850098,0.07023338228464127,0.8322199583053589,0.9914294481277466,0.9010814428329468,0.9042439460754395,0.2735257148742676,0.5544148087501526,0.7417582273483276,4.999999873689376e-05,head
0.9767929315567017,0.9976512789726257,0.06883601099252701,0.8380755186080933,0.9917355179786682,0.9007633328437805,0.9069057106971741,0.2721494734287262,0.5530612468719482,0.7445054650306702,2.499999936844688e-05,head
0.8839647173881531,0.9228525757789612,0.38894742727279663,0.5001847743988037,0.8285889029502869,0.7929389476776123,0.8407413363456726,0.4970158338546753,0.32305794954299927,0.7197802066802979,9.999999747378752e-06,fine_tuning
0.8828985691070557,0.9501898884773254,0.2956901788711548,0.4976125657558441,0.8931741714477539,0.8247455358505249,0.8641780018806458,0.44034507870674133,0.3695955276489258,0.7280219793319702,9.999999747378752e-06,fine_tuning
0.8968654274940491,0.960425615310669,0.25867772102355957,0.5330675840377808,0.900520384311676,0.8409669399261475,0.8724949359893799,0.4076858460903168,0.39759036898612976,0.7252747416496277,9.999999747378752e-06,fine_tuning
0.9058923721313477,0.963489830493927,0.2471887767314911,0.5583851933479309,0.906029999256134,0.838422417640686,0.879570484161377,0.415515273809433,0.3959537446498871,0.7527472376823425,4.999999873689376e-06,fine_tuning
0.9066742658615112,0.9645280838012695,0.24245403707027435,0.5607122778892517,0.906029999256134,0.841284990310669,0.8828647136688232,0.4107649326324463,0.4011712968349457,0.7527472376823425,4.999999873689376e-06,fine_tuning
0.9118629693984985,0.9673430323600769,0.23294159770011902,0.5764226317405701,0.9084787368774414,0.8435114622116089,0.8873171806335449,0.40131568908691406,0.4058823585510254,0.7582417726516724,4.999999873689376e-06,fine_tuning
0.9118984937667847,0.9689131379127502,0.227295383810997,0.5766238570213318,0.9075604677200317,0.8435114622116089,0.887944221496582,0.4032132625579834,0.4056047201156616,0.7554945349693298,2.499999936844688e-06,fine_tuning
