backend,threshold,n_samples,accuracy,precision,recall,f1,auc,tn,fp,fn,tp
float32,0.5,31282,0.9197621635445304,0.6355501813784764,0.7237675571467915,0.6767962915271697,0.9260967601437284,26144,1507,1003,2628
int8,0.5,31282,0.9171408477718815,0.6203381978225619,0.7375378683558248,0.6738802214393558,0.9269969473643835,26012,1639,953,2678
float32,0.8,31282,0.9355539927114634,0.7887021809081158,0.6075461305425502,0.686372121966397,0.9260967601437284,27060,591,1425,2206
int8,0.8,31282,0.935106450994182,0.7799930045470445,0.6141558799228862,0.687211093990755,0.9269969473643835,27022,629,1401,2230
