,accuracy,precision,recall,f1,auc
mean,0.919617156307295,0.6223393720183183,0.7205355284211981,0.6649677812192161,0.9207015241839922
std,0.022320815097740653,0.1082334233128367,0.14614207210542288,0.11497605750745556,0.05113740361892124
