threshold,accuracy,precision,recall,f1,auc,specificity,fpr,tn,fp,fn,tp
0.5,0.9171408477718815,0.6203381978225619,0.7375378683558248,0.6738802214393558,0.9269969473643835,0.9407254710498716,0.059274528950128386,26012,1639,953,2678
0.6,0.9266670928968737,0.6774621714892487,0.7028366841090609,0.6899161935658286,0.9269969473643835,0.9560594553542368,0.04394054464576326,26436,1215,1079,2552
0.69,0.9319736589732114,0.7269707037148898,0.6629027816028642,0.6934600979544799,0.9269969473643835,0.9673067881812593,0.032693211818740735,26747,904,1224,2407
0.7,0.9320375935042516,0.7289321569820505,0.6598733131368769,0.6926857473258167,0.9269969473643835,0.9677769339264403,0.03222306607355973,26760,891,1235,2396
0.8,0.935106450994182,0.7799930045470445,0.6141558799228862,0.687211093990755,0.9269969473643835,0.9772521789447036,0.022747821055296373,27022,629,1401,2230
0.9,0.9343072693561792,0.8367521367521368,0.539245386945745,0.6558365432925808,0.9269969473643835,0.9861849481031427,0.013815051896857257,27269,382,1673,1958
