threshold,metric,float32_mean,float32_std,int8_mean,int8_std,delta_int8_minus_float32
0.5,accuracy,0.919617156307295,0.022320815097740653,0.9169605332387493,0.022257972188156623,-0.0026566230685457493
0.5,precision,0.6223393720183183,0.1082334233128367,0.6076257502912898,0.10529588881400603,-0.014713621727028503
0.5,recall,0.7205355284211981,0.14614207210542288,0.7340147737826767,0.140785410743474,0.013479245361478598
0.5,f1,0.6649677812192161,0.11497605750745556,0.6622370484922728,0.11083776998395159,-0.0027307327269432413
0.5,auc,0.9207015241839922,0.05113740361892124,0.921477099607273,0.051264456741457576,0.0007755754232807721
0.8,accuracy,0.9358832105634193,0.02113928090062299,0.9353825971929904,0.02017831786088884,-0.0005006133704288374
0.8,precision,0.773722680694626,0.07254945320758618,0.7644528537272881,0.07082969940445288,-0.009269826967337913
0.8,recall,0.6051351902121211,0.16886753295565038,0.6109535701377063,0.1656349431429548,0.005818379925585204
0.8,f1,0.6718362439172886,0.13224691262745206,0.6722295996794501,0.12839188073242086,0.0003933557621614847
0.8,auc,0.9207015241839922,0.05113740361892124,0.921477099607273,0.051264456741457576,0.0007755754232807721
