metric,previous_int8_oof_t080,reconstructed_clean_t080,difference
accuracy,0.935106450994182,0.935106450994182,0.0
precision,0.7799930045470445,0.7799930045470445,0.0
recall,0.6141558799228862,0.6141558799228862,0.0
f1,0.687211093990755,0.687211093990755,0.0
auc,0.9269969473643836,0.9269969473643835,-1.1102230246251565e-16
