condition,snr_db,n_samples,accuracy,precision,recall,f1,auc,tn,fp,fn,tp,delta_accuracy_vs_clean,delta_precision_vs_clean,delta_recall_vs_clean,delta_f1_vs_clean,delta_auc_vs_clean
clean,,31282,0.935106450994182,0.7799930045470445,0.6141558799228862,0.687211093990755,0.9269969473643835,27022,629,1401,2230,0.0,0.0,0.0,0.0,0.0
20_dB,20.0,31282,0.9282015216418388,0.7262332571055211,0.6122280363536216,0.6643753735803944,0.9228564716045388,26813,838,1408,2223,-0.006904929352343214,-0.05375974744152334,-0.0019278435692646756,-0.022835720410360527,-0.004140475759844775
10_dB,10.0,31282,0.9227670865034205,0.7684489615554574,0.478931423850179,0.5900916185951816,0.9123470513640725,27127,524,1892,1739,-0.01233936449076145,-0.011544042991587067,-0.13522445607270722,-0.09711947539557342,-0.01464989600031108
5_dB,5.0,31282,0.9136244485646697,0.8061964403427818,0.3368218121729551,0.4751359751359751,0.9019207231067256,27357,294,2408,1223,-0.02148200242951226,0.026203435795737362,-0.27733406774993113,-0.21207511885477986,-0.025076224257657986
0_dB,0.0,31282,0.8936129403490826,0.8451025056947609,0.10217570917102727,0.1823095823095823,0.8741101725095146,27583,68,3260,371,-0.04149351064509943,0.06510950114771641,-0.511980170751859,-0.5049015116811727,-0.05288677485486892
