condition,snr_db,n_samples,accuracy,precision,recall,f1,auc,tn,fp,fn,tp
clean,,31282,0.935106450994182,0.7799930045470445,0.6141558799228862,0.687211093990755,0.9269969473643835,27022,629,1401,2230
20_dB,20.0,31282,0.9282015216418388,0.7262332571055211,0.6122280363536216,0.6643753735803944,0.9228564716045388,26813,838,1408,2223
10_dB,10.0,31282,0.9227670865034205,0.7684489615554574,0.478931423850179,0.5900916185951816,0.9123470513640725,27127,524,1892,1739
5_dB,5.0,31282,0.9136244485646697,0.8061964403427818,0.3368218121729551,0.4751359751359751,0.9019207231067256,27357,294,2408,1223
0_dB,0.0,31282,0.8936129403490826,0.8451025056947609,0.10217570917102727,0.1823095823095823,0.8741101725095146,27583,68,3260,371
