condition,snr_db,n_folds,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,auc_mean,auc_std
clean,,10,0.9353825971929904,0.02017831786088884,0.7644528537272881,0.07082969940445288,0.6109535701377063,0.1656349431429548,0.6722295996794501,0.12839188073242086,0.921477099607273,0.051264456741457576
20_dB,20.0,10,0.9280816274439718,0.017181452994499226,0.7108478079415351,0.07137625504918824,0.5963519959585242,0.16145266903923647,0.6416779035579874,0.12402435815763088,0.9152034862126935,0.06209067200485107
10_dB,10.0,10,0.9229105406688621,0.01899618573572966,0.7581613202862781,0.08645313108424628,0.46909445370104563,0.1226578303993201,0.5740961810022083,0.11189238371593453,0.9055988368441069,0.05912846580436841
5_dB,5.0,10,0.9139663076463025,0.02179043313254308,0.7961576327988422,0.11619109540467253,0.33139223587487665,0.11074901994307888,0.46094316902412097,0.11884572063752583,0.8962180988187102,0.052316399276218416
0_dB,0.0,10,0.8942621513778691,0.026289618512680114,0.7993736116750683,0.171987412621056,0.09937692013732412,0.07512722316262406,0.17102947030387233,0.11522221823993893,0.8692401668650935,0.04812485220905619
